URL: /
Timestamp: Thu Feb 16 2023 14:17:36 GMT-0600 (Central Standard Time)

URL: /favicon.ico
Timestamp: Thu Feb 16 2023 14:17:37 GMT-0600 (Central Standard Time)

::1 - - [29/Mar/2023:21:16:53 +0000] "GET /movies/genre/Horror HTTP/1.1" 404 158 "-" "PostmanRuntime/7.31.3"
::1 - - [29/Mar/2023:21:18:51 +0000] "GET /movies/genre/Horror HTTP/1.1" 200 145 "-" "PostmanRuntime/7.31.3"
::1 - - [29/Mar/2023:21:30:01 +0000] "GET /movies/directors/Ridley%20Scott HTTP/1.1" 200 257 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:03:46:29 +0000] "GET /users/2/It HTTP/1.1" 404 149 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:03:53:36 +0000] "GET /users/1/Teenage%20Mutant%20Ninja%20Turtles HTTP/1.1" 404 181 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:03:57:27 +0000] "GET /users/1/Teenage%20Mutant%20Ninja%20Turtles HTTP/1.1" 404 181 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:03:58:29 +0000] "GET /users/1 HTTP/1.1" 404 146 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:04:01:11 +0000] "PUT /users/1 HTTP/1.1" 200 58 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:04:32:06 +0000] "PUT /users/2 HTTP/1.1" 200 32 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:04:32:29 +0000] "DELETE /users/2/It HTTP/1.1" 200 39 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:04:53:56 +0000] "DELETE /users/2 HTTP/1.1" 404 149 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:05:03:41 +0000] "DELETE /users/2 HTTP/1.1" 404 149 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:05:04:05 +0000] "POST /users/2 HTTP/1.1" 404 147 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:05:04:11 +0000] "PUT /users/2 HTTP/1.1" 200 32 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:05:04:23 +0000] "DELETE /users/2 HTTP/1.1" 404 149 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:05:04:57 +0000] "DELETE /users/2 HTTP/1.1" 200 23 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:01:49 +0000] "GET /movies HTTP/1.1" 500 1341 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:03:24 +0000] "GET /movies HTTP/1.1" 500 1341 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:04:05 +0000] "GET /movies/ HTTP/1.1" 500 1341 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:04:14 +0000] "GET /movie HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:04:42 +0000] "GET /movies HTTP/1.1" 500 1341 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:05:21 +0000] "GET /movies HTTP/1.1" 500 1341 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:05:29 +0000] "GET /movies HTTP/1.1" 500 1341 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:06:03 +0000] "GET /movies/It HTTP/1.1" 200 1141 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:06:26 +0000] "GET /movies HTTP/1.1" 500 1341 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:10:06 +0000] "GET /movies HTTP/1.1" 500 1341 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:10:37 +0000] "GET /%20movies HTTP/1.1" 404 148 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:11:23 +0000] "POST /users HTTP/1.1" 400 16 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:11:41 +0000] "POST /users/1 HTTP/1.1" 404 147 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:15:49 +0000] "GET /movies/ HTTP/1.1" 500 1341 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:16:25 +0000] "GET /movies/It HTTP/1.1" 200 1141 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:19:46 +0000] "GET /movies/ HTTP/1.1" 200 11082 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:30:02 +0000] "GET /movies/It HTTP/1.1" 200 1141 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:33:39 +0000] "GET /genre/Horror HTTP/1.1" 404 151 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:34:32 +0000] "GET /movies/genre/Horror HTTP/1.1" 200 145 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:43:18 +0000] "GET /movies/director/Sam%20Raimi HTTP/1.1" 404 166 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:43:54 +0000] "GET /movies/directors/Sam%20Raimi HTTP/1.1" 200 818 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:45:44 +0000] "POST /users HTTP/1.1" 400 16 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:51:55 +0000] "POST /users HTTP/1.1" 400 16 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:52:02 +0000] "POST /users/id HTTP/1.1" 404 148 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:52:12 +0000] "POST /users/ HTTP/1.1" 400 16 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:53:14 +0000] "POST /users/1 HTTP/1.1" 404 147 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:53:26 +0000] "POST /users/1/id HTTP/1.1" 200 35 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:58:01 +0000] "PUT /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:58:10 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:06:58:16 +0000] "POST /users HTTP/1.1" 400 16 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:10:55 +0000] "POST /users/:id HTTP/1.1" 404 149 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:11:02 +0000] "POST /users/id HTTP/1.1" 404 148 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:11:11 +0000] "GET /users/id HTTP/1.1" 404 147 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:11:16 +0000] "PUT /users/id HTTP/1.1" 400 12 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:12:36 +0000] "POST /users/2/It HTTP/1.1" 200 35 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:16:45 +0000] "PUT /users/2 HTTP/1.1" 200 37 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:20:55 +0000] "PUT /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:21:05 +0000] "PUT /users/ HTTP/1.1" 404 145 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:21:20 +0000] "POST /users HTTP/1.1" 400 16 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:21:58 +0000] "POST /users HTTP/1.1" 400 16 "-" "PostmanRuntime/7.31.3"
